event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),,,,,,
75ad53,STVJD-1,CAMP_DIW_01,P05,55,25% OFF,59,48,,41.25,2433.75,2640,,
a08c5e,STMYS-2,CAMP_DIW_01,P05,55,25% OFF,99,88,,41.25,4083.75,4840,,
d8a4ae,STBLR-0,CAMP_SAN_01,P05,55,25% OFF,28,22,,41.25,1155,1210,,
14f1e9,STBLR-4,CAMP_DIW_01,P08,1190,BOGOF,49,163,,595,29155,193970,,
11178a,STCBE-0,CAMP_DIW_01,P07,300,BOGOF,36,118,,150,5400,35400,,
62775f,STCHE-2,CAMP_DIW_01,P07,300,BOGOF,59,196,,150,8850,58800,,
5.88E+11,STHYD-3,CAMP_DIW_01,P12,62,50% OFF,112,178,,31,3472,11036,,
4fca07,STMLR-2,CAMP_SAN_01,P01,172,33% OFF,183,215,,115.24,21088.92,36980,,
a216f7,STCBE-2,CAMP_DIW_01,P06,415,25% OFF,77,68,,311.25,23966.25,28220,,
18a68a,STMLR-0,CAMP_DIW_01,P01,172,33% OFF,173,250,,115.24,19936.52,43000,,
1f5ed3,STVSK-1,CAMP_SAN_01,P08,1190,BOGOF,33,131,,595,19635,155890,,
58e374,STBLR-0,CAMP_DIW_01,P07,300,BOGOF,64,250,,150,9600,75000,,
f7aec5,STCHE-5,CAMP_SAN_01,P13,350,BOGOF,87,341,,175,15225,119350,,
f4192d,STMYS-1,CAMP_DIW_01,P11,190,50% OFF,84,121,,95,7980,22990,,
a71e7c,STCBE-2,CAMP_SAN_01,P12,62,50% OFF,33,51,,31,1023,3162,,
f49149,STMYS-0,CAMP_SAN_01,P06,415,25% OFF,27,22,,311.25,8403.75,9130,,
e7cb59,STCHE-3,CAMP_DIW_01,P11,190,50% OFF,96,120,,95,9120,22800,,
8b1147,STVSK-0,CAMP_SAN_01,P15,3000,500 Cashback,73,170,,2500,182500,510000,,
8d349f,STCBE-4,CAMP_SAN_01,P10,50,25% OFF,22,18,,37.5,825,900,,
096adc,STBLR-8,CAMP_SAN_01,P02,860,33% OFF,441,626,,576.2,254104.2,538360,,
5f0a89,STBLR-3,CAMP_SAN_01,P15,3000,500 Cashback,114,249,,2500,285000,747000,,
127984,STMLR-2,CAMP_DIW_01,P04,290,25% OFF,141,125,,217.5,30667.5,36250,,
e8a904,STCHE-7,CAMP_DIW_01,P05,55,25% OFF,112,107,,41.25,4620,5885,,
f1b7e9,STCHE-3,CAMP_DIW_01,P14,1020,BOGOF,52,211,,510,26520,215220,,
62d659,STHYD-6,CAMP_DIW_01,P10,65,50% OFF,105,137,,32.5,3412.5,8905,,
333b7d,STHYD-6,CAMP_DIW_01,P08,1190,BOGOF,49,166,,595,29155,197540,,
da9b71,STVSK-1,CAMP_DIW_01,P06,415,25% OFF,63,51,,311.25,19608.75,21165,,
463205,STVSK-2,CAMP_DIW_01,P02,860,33% OFF,215,371,,576.2,123883,319060,,
2b0db4,STMLR-2,CAMP_DIW_01,P14,1020,BOGOF,21,73,,510,10710,74460,,
003e8d,STCHE-3,CAMP_DIW_01,P02,860,33% OFF,371,519,,576.2,213770.2,446340,,
b0ab6c,STHYD-4,CAMP_SAN_01,P06,415,25% OFF,34,31,,311.25,10582.5,12865,,
2d7f62,STCHE-2,CAMP_SAN_01,P11,190,50% OFF,58,68,,95,5510,12920,,
58df9b,STCBE-2,CAMP_DIW_01,P02,860,33% OFF,183,327,,576.2,105444.6,281220,,
f22294,STMYS-1,CAMP_SAN_01,P01,172,33% OFF,345,520,,115.24,39757.8,89440,,
6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,BOGOF,22,88,,595,13090,104720,,
41b8f8,STBLR-0,CAMP_DIW_01,P08,1190,BOGOF,56,220,,595,33320,261800,,
7.34E+11,STCHE-0,CAMP_DIW_01,P06,415,25% OFF,105,92,,311.25,32681.25,38180,,
cbe691,STBLR-0,CAMP_DIW_01,P10,65,50% OFF,103,134,,32.5,3347.5,8710,,
0f2c3a,STCBE-0,CAMP_SAN_01,P07,300,BOGOF,30,117,,150,4500,35100,,
5ae6d6,STBLR-1,CAMP_SAN_01,P09,90,25% OFF,82,74,,67.5,5535,6660,,
a9ee19,STBLR-1,CAMP_SAN_01,P08,1190,BOGOF,58,158,,595,34510,188020,,
4ab9ba,STTRV-1,CAMP_SAN_01,P01,172,33% OFF,165,232,,115.24,19014.6,39904,,
3164ea,STMDU-2,CAMP_SAN_01,P01,172,33% OFF,265,328,,115.24,30538.6,56416,,
7bdc1e,STVSK-4,CAMP_DIW_01,P07,300,BOGOF,50,149,,150,7500,44700,,
565a38,STTRV-0,CAMP_SAN_01,P07,300,BOGOF,30,117,,150,4500,35100,,
ab3517,STTRV-1,CAMP_SAN_01,P04,370,BOGOF,190,733,,185,35150,271210,,
1b295f,STCHE-5,CAMP_DIW_01,P12,62,50% OFF,110,130,,31,3410,8060,,
a55960,STBLR-1,CAMP_DIW_01,P08,1190,BOGOF,50,149,,595,29750,177310,,
5a0c33,STCBE-2,CAMP_DIW_01,P10,65,50% OFF,87,127,,32.5,2827.5,8255,,
74d23a,STCHE-0,CAMP_DIW_01,P07,300,BOGOF,75,252,,150,11250,75600,,
d105db,STCBE-4,CAMP_SAN_01,P07,300,BOGOF,43,111,,150,6450,33300,,
1620ea,STMYS-3,CAMP_DIW_01,P06,415,25% OFF,101,89,,311.25,31436.25,36935,,
2177f8,STMDU-0,CAMP_DIW_01,P04,290,25% OFF,234,208,,217.5,50895,60320,,
609bfd,STBLR-1,CAMP_DIW_01,P12,62,50% OFF,129,170,,31,3999,10540,,
0013db,STBLR-1,CAMP_SAN_01,P02,860,33% OFF,435,622,,576.2,250647,534920,,
6f3e24,STHYD-6,CAMP_DIW_01,P15,3000,500 Cashback,388,1129,,2500,970000,3387000,,
79a95a,STHYD-3,CAMP_SAN_01,P15,3000,500 Cashback,121,200,,2500,302500,600000,,
8cd1ec,STCHE-1,CAMP_SAN_01,P13,350,BOGOF,124,324,,175,21700,113400,,
e57227,STCHE-6,CAMP_SAN_01,P05,55,25% OFF,25,18,,41.25,1031.25,990,,
79577d,STBLR-9,CAMP_DIW_01,P03,156,25% OFF,348,337,,117,40716,52572,,
dbaf92,STBLR-6,CAMP_SAN_01,P01,172,33% OFF,301,454,,115.24,34687.24,78088,,
27bc6e,STCBE-2,CAMP_DIW_01,P14,1020,BOGOF,42,160,,510,21420,163200,,
53bb94,STHYD-2,CAMP_DIW_01,P02,860,33% OFF,402,611,,576.2,231632.4,525460,,
2fe1bb,STCHE-1,CAMP_SAN_01,P04,370,BOGOF,460,1168,,185,85100,432160,,
e553f2,STTRV-0,CAMP_DIW_01,P13,350,BOGOF,38,129,,175,6650,45150,,
fc376a,STHYD-0,CAMP_SAN_01,P14,1020,BOGOF,106,422,,510,54060,430440,,
fdd666,STMLR-0,CAMP_DIW_01,P06,415,25% OFF,38,33,,311.25,11827.5,13695,,
bbf357,STVSK-4,CAMP_SAN_01,P11,190,50% OFF,40,57,,95,3800,10830,,
d180ef,STBLR-7,CAMP_SAN_01,P01,172,33% OFF,341,531,,115.24,39296.84,91332,,
4888d5,STBLR-3,CAMP_DIW_01,P07,300,BOGOF,70,231,,150,10500,69300,,
dead78,STVJD-0,CAMP_DIW_01,P12,62,50% OFF,68,90,,31,2108,5580,,
c198da,STMDU-2,CAMP_SAN_01,P06,415,25% OFF,19,15,,311.25,5913.75,6225,,
3cb389,STCHE-6,CAMP_DIW_01,P01,172,33% OFF,309,460,,115.24,35609.16,79120,,
667c78,STVSK-4,CAMP_SAN_01,P01,172,33% OFF,223,301,,115.24,25698.52,51772,,
02b894,STBLR-2,CAMP_SAN_01,P02,860,33% OFF,477,658,,576.2,274847.4,565880,,
1bff17,STCHE-6,CAMP_DIW_01,P05,55,25% OFF,112,85,,41.25,4620,4675,,
d6ff76,STMDU-2,CAMP_DIW_01,P14,1020,BOGOF,28,96,,510,14280,97920,,
d1e51d,STCBE-4,CAMP_DIW_01,P07,300,BOGOF,42,130,,150,6300,39000,,
8f2a5a,STVSK-2,CAMP_SAN_01,P11,190,50% OFF,25,37,,95,2375,7030,,
87be33,STBLR-6,CAMP_SAN_01,P13,350,BOGOF,120,516,,175,21000,180600,,
a1e541,STHYD-1,CAMP_DIW_01,P01,172,33% OFF,311,385,,115.24,35839.64,66220,,
6a1a5a,STVSK-0,CAMP_DIW_01,P15,3000,500 Cashback,250,755,,2500,625000,2265000,,
361cfb,STMLR-0,CAMP_DIW_01,P14,1020,BOGOF,22,69,,510,11220,70380,,
951bda,STBLR-9,CAMP_DIW_01,P07,300,BOGOF,63,213,,150,9450,63900,,
a692dc,STCHE-1,CAMP_SAN_01,P01,172,33% OFF,270,340,,115.24,31114.8,58480,,
94953c,STMLR-2,CAMP_SAN_01,P06,415,25% OFF,15,12,,311.25,4668.75,4980,,
af100a,STMLR-2,CAMP_SAN_01,P03,200,BOGOF,190,752,,100,19000,150400,,
223d36,STMYS-0,CAMP_DIW_01,P10,65,50% OFF,129,167,,32.5,4192.5,10855,,
ff43bf,STHYD-2,CAMP_DIW_01,P11,190,50% OFF,91,116,,95,8645,22040,,
44838e,STVJD-1,CAMP_DIW_01,P06,415,25% OFF,49,40,,311.25,15251.25,16600,,
1fa488,STVJD-0,CAMP_DIW_01,P07,300,BOGOF,31,105,,150,4650,31500,,
73211e,STCBE-1,CAMP_DIW_01,P01,172,33% OFF,182,223,,115.24,20973.68,38356,,
93a29e,STCHE-4,CAMP_SAN_01,P05,55,25% OFF,28,22,,41.25,1155,1210,,
ec5570,STVJD-1,CAMP_DIW_01,P10,65,50% OFF,71,95,,32.5,2307.5,6175,,
6ee2af,STHYD-3,CAMP_SAN_01,P02,860,33% OFF,595,892,,576.2,342839,767120,,
f3a7b2,STHYD-6,CAMP_SAN_01,P01,172,33% OFF,306,416,,115.24,35263.44,71552,,
2186aa,STCBE-3,CAMP_SAN_01,P05,55,25% OFF,19,15,,41.25,783.75,825,,
e7bdad,STMLR-1,CAMP_DIW_01,P14,1020,BOGOF,24,80,,510,12240,81600,,
f90ae9,STCBE-0,CAMP_SAN_01,P13,350,BOGOF,82,323,,175,14350,113050,,
348fe6,STBLR-8,CAMP_DIW_01,P01,172,33% OFF,332,471,,115.24,38259.68,81012,,
17d5c1,STCBE-0,CAMP_DIW_01,P13,350,BOGOF,52,173,,175,9100,60550,,
8f5618,STBLR-1,CAMP_DIW_01,P04,290,25% OFF,302,289,,217.5,65685,83810,,
6bfa15,STCBE-2,CAMP_SAN_01,P06,415,25% OFF,16,13,,311.25,4980,5395,,
aac58d,STBLR-6,CAMP_DIW_01,P08,1190,BOGOF,52,204,,595,30940,242760,,
ed0d01,STBLR-2,CAMP_DIW_01,P12,62,50% OFF,108,145,,31,3348,8990,,
0eb41f,STVSK-2,CAMP_SAN_01,P01,172,33% OFF,232,364,,115.24,26735.68,62608,,
9b8658,STHYD-5,CAMP_DIW_01,P11,190,50% OFF,73,97,,95,6935,18430,,
3bc352,STHYD-3,CAMP_DIW_01,P07,300,BOGOF,54,170,,150,8100,51000,,
40f110,STBLR-9,CAMP_DIW_01,P12,62,50% OFF,122,163,,31,3782,10106,,
55fed8,STCBE-3,CAMP_DIW_01,P09,110,50% OFF,40,60,,55,2200,6600,,
c1cdb5,STCHE-0,CAMP_SAN_01,P15,3000,500 Cashback,135,286,,2500,337500,858000,,
c134bb,STBLR-8,CAMP_SAN_01,P07,300,BOGOF,51,205,,150,7650,61500,,
2361c6,STBLR-0,CAMP_DIW_01,P06,415,25% OFF,94,83,,311.25,29257.5,34445,,
b44f0e,STHYD-2,CAMP_SAN_01,P15,3000,500 Cashback,136,288,,2500,340000,864000,,
607c9d,STCHE-2,CAMP_SAN_01,P02,860,33% OFF,556,711,,576.2,320367.2,611460,,
5ea63d,STCBE-3,CAMP_DIW_01,P12,62,50% OFF,82,126,,31,2542,7812,,
323aee,STVSK-0,CAMP_DIW_01,P07,300,BOGOF,36,119,,150,5400,35700,,
114087,STHYD-3,CAMP_SAN_01,P06,415,25% OFF,28,20,,311.25,8715,8300,,
99482c,STBLR-8,CAMP_SAN_01,P08,1190,BOGOF,42,161,,595,24990,191590,,
5ab1d5,STCHE-6,CAMP_DIW_01,P06,415,25% OFF,98,76,,311.25,30502.5,31540,,
97ad03,STCBE-1,CAMP_SAN_01,P02,860,33% OFF,379,462,,576.2,218379.8,397320,,
b666fa,STTRV-1,CAMP_DIW_01,P05,55,25% OFF,57,55,,41.25,2351.25,3025,,
da3c49,STMLR-2,CAMP_SAN_01,P02,860,33% OFF,270,313,,576.2,155574,269180,,
3459ec,STCHE-3,CAMP_SAN_01,P02,860,33% OFF,468,636,,576.2,269661.6,546960,,
7f81c2,STCHE-2,CAMP_DIW_01,P05,55,25% OFF,91,88,,41.25,3753.75,4840,,
b17786,STMLR-0,CAMP_SAN_01,P13,350,BOGOF,63,163,,175,11025,57050,,
2cbc21,STHYD-1,CAMP_SAN_01,P09,90,25% OFF,58,47,,67.5,3915,4230,,
eacf93,STTRV-1,CAMP_SAN_01,P11,190,50% OFF,24,34,,95,2280,6460,,
0f184e,STVSK-0,CAMP_DIW_01,P05,55,25% OFF,89,80,,41.25,3671.25,4400,,
52ec61,STBLR-8,CAMP_DIW_01,P10,65,50% OFF,133,172,,32.5,4322.5,11180,,
541bef,STHYD-4,CAMP_SAN_01,P01,172,33% OFF,234,322,,115.24,26966.16,55384,,
86a92b,STMLR-2,CAMP_DIW_01,P11,190,50% OFF,42,45,,95,3990,8550,,
861116,STBLR-7,CAMP_DIW_01,P06,415,25% OFF,96,84,,311.25,29880,34860,,
c6d7c5,STMYS-3,CAMP_DIW_01,P12,62,50% OFF,124,145,,31,3844,8990,,
b58c2d,STMYS-0,CAMP_SAN_01,P02,860,33% OFF,499,703,,576.2,287523.8,604580,,
d59c23,STCBE-3,CAMP_DIW_01,P03,156,25% OFF,252,224,,117,29484,34944,,
68a7bc,STBLR-5,CAMP_DIW_01,P04,290,25% OFF,322,276,,217.5,70035,80040,,
f98db5,STBLR-2,CAMP_SAN_01,P15,3000,500 Cashback,129,279,,2500,322500,837000,,
ffaba4,STBLR-8,CAMP_SAN_01,P09,90,25% OFF,46,33,,67.5,3105,2970,,
f725c0,STCBE-3,CAMP_SAN_01,P03,200,BOGOF,228,898,,100,22800,179600,,
f8e037,STHYD-2,CAMP_DIW_01,P08,1190,BOGOF,52,175,,595,30940,208250,,
b526b4,STCHE-7,CAMP_SAN_01,P02,860,33% OFF,525,756,,576.2,302505,650160,,
0491f4,STVSK-2,CAMP_DIW_01,P11,190,50% OFF,38,58,,95,3610,11020,,
879d99,STHYD-5,CAMP_DIW_01,P09,110,50% OFF,92,124,,55,5060,13640,,
ec3591,STCHE-1,CAMP_SAN_01,P09,90,25% OFF,79,63,,67.5,5332.5,5670,,
2db607,STCBE-1,CAMP_DIW_01,P14,1020,BOGOF,40,136,,510,20400,138720,,
b78191,STBLR-3,CAMP_SAN_01,P14,1020,BOGOF,91,361,,510,46410,368220,,
7b1d41,STMYS-2,CAMP_DIW_01,P14,1020,BOGOF,43,125,,510,21930,127500,,
a6e691,STCHE-0,CAMP_SAN_01,P03,200,BOGOF,294,1134,,100,29400,226800,,
f21ef6,STMLR-1,CAMP_SAN_01,P06,415,25% OFF,18,14,,311.25,5602.5,5810,,
b999c5,STMYS-2,CAMP_SAN_01,P03,200,BOGOF,406,1015,,100,40600,203000,,
f6aa36,STVSK-3,CAMP_DIW_01,P06,415,25% OFF,63,54,,311.25,19608.75,22410,,
d78c78,STCHE-0,CAMP_DIW_01,P14,1020,BOGOF,52,182,,510,26520,185640,,
12573c,STHYD-3,CAMP_SAN_01,P12,62,50% OFF,64,100,,31,1984,6200,,
38ebfb,STCBE-1,CAMP_SAN_01,P10,50,25% OFF,27,20,,37.5,1012.5,1000,,
5d23c1,STVSK-4,CAMP_SAN_01,P12,62,50% OFF,40,58,,31,1240,3596,,
449732,STBLR-9,CAMP_DIW_01,P05,55,25% OFF,101,97,,41.25,4166.25,5335,,
b83644,STBLR-6,CAMP_DIW_01,P11,190,50% OFF,75,117,,95,7125,22230,,
17537,STMDU-2,CAMP_SAN_01,P08,1190,BOGOF,33,129,,595,19635,153510,,
ab8eb3,STHYD-6,CAMP_DIW_01,P06,415,25% OFF,85,74,,311.25,26456.25,30710,,
99ce6a,STVSK-3,CAMP_SAN_01,P03,200,BOGOF,250,687,,100,25000,137400,,
42b041,STBLR-1,CAMP_DIW_01,P01,172,33% OFF,357,514,,115.24,41140.68,88408,,
fd5955,STCBE-0,CAMP_DIW_01,P02,860,33% OFF,313,541,,576.2,180350.6,465260,,
9.33E+11,STBLR-3,CAMP_SAN_01,P08,1190,BOGOF,40,154,,595,23800,183260,,
268b09,STMLR-1,CAMP_SAN_01,P13,350,BOGOF,49,189,,175,8575,66150,,
dcaeaa,STBLR-7,CAMP_DIW_01,P04,290,25% OFF,276,242,,217.5,60030,70180,,
d31787,STMYS-2,CAMP_SAN_01,P10,50,25% OFF,25,20,,37.5,937.5,1000,,
f34069,STBLR-9,CAMP_SAN_01,P09,90,25% OFF,61,57,,67.5,4117.5,5130,,
4f40ed,STCHE-5,CAMP_SAN_01,P02,860,33% OFF,564,721,,576.2,324976.8,620060,,
12bb06,STHYD-1,CAMP_DIW_01,P03,156,25% OFF,351,319,,117,41067,49764,,
5f2c41,STCHE-6,CAMP_DIW_01,P08,1190,BOGOF,54,185,,595,32130,220150,,
e0de60,STHYD-6,CAMP_DIW_01,P03,156,25% OFF,327,294,,117,38259,45864,,
152ae4,STHYD-1,CAMP_SAN_01,P12,62,50% OFF,51,57,,31,1581,3534,,
8e6ee5,STMLR-0,CAMP_DIW_01,P05,55,25% OFF,52,45,,41.25,2145,2475,,
d0fd0e,STBLR-0,CAMP_SAN_01,P11,190,50% OFF,43,62,,95,4085,11780,,
4fa17c,STCHE-4,CAMP_DIW_01,P01,172,33% OFF,327,503,,115.24,37683.48,86516,,
bcf305,STCHE-5,CAMP_DIW_01,P09,110,50% OFF,75,80,,55,4125,8800,,
66050c,STCHE-6,CAMP_SAN_01,P08,1190,BOGOF,60,238,,595,35700,283220,,
407f1c,STBLR-2,CAMP_SAN_01,P13,350,BOGOF,117,469,,175,20475,164150,,
e12c11,STCHE-1,CAMP_SAN_01,P14,1020,BOGOF,112,294,,510,57120,299880,,
46d57b,STBLR-9,CAMP_DIW_01,P13,350,BOGOF,94,329,,175,16450,115150,,
e80ad8,STCHE-7,CAMP_DIW_01,P10,65,50% OFF,136,179,,32.5,4420,11635,,
f2bdcc,STBLR-4,CAMP_DIW_01,P01,172,33% OFF,337,478,,115.24,38835.88,82216,,
8d20b8,STBLR-5,CAMP_DIW_01,P09,110,50% OFF,75,95,,55,4125,10450,,
f88523,STTRV-1,CAMP_SAN_01,P05,55,25% OFF,10,9,,41.25,412.5,495,,
177b80,STMLR-0,CAMP_SAN_01,P14,1020,BOGOF,37,96,,510,18870,97920,,
317699,STCHE-2,CAMP_SAN_01,P03,200,BOGOF,310,1246,,100,31000,249200,,
ef6d6d,STBLR-2,CAMP_SAN_01,P14,1020,BOGOF,88,346,,510,44880,352920,,
1e51ee,STVSK-3,CAMP_SAN_01,P12,62,50% OFF,43,51,,31,1333,3162,,
c55ec9,STBLR-1,CAMP_SAN_01,P15,3000,500 Cashback,136,220,,2500,340000,660000,,
6bbadf,STHYD-1,CAMP_DIW_01,P14,1020,BOGOF,43,127,,510,21930,129540,,
edaef4,STHYD-5,CAMP_SAN_01,P03,200,BOGOF,416,1630,,100,41600,326000,,
d3f755,STCBE-1,CAMP_SAN_01,P08,1190,BOGOF,43,171,,595,25585,203490,,
0ba095,STCBE-1,CAMP_DIW_01,P03,156,25% OFF,274,210,,117,32058,32760,,
911349,STHYD-0,CAMP_DIW_01,P15,3000,500 Cashback,397,1214,,2500,992500,3642000,,
6d65d2,STBLR-8,CAMP_SAN_01,P04,370,BOGOF,480,1867,,185,88800,690790,,
4ab3bc,STHYD-2,CAMP_SAN_01,P09,90,25% OFF,66,49,,67.5,4455,4410,,
c22cf6,STCHE-6,CAMP_SAN_01,P12,62,50% OFF,58,81,,31,1798,5022,,
cc2182,STMDU-1,CAMP_DIW_01,P12,62,50% OFF,85,117,,31,2635,7254,,
bdf2b8,STVJD-1,CAMP_DIW_01,P12,62,50% OFF,56,71,,31,1736,4402,,
db8aa8,STTRV-1,CAMP_SAN_01,P03,200,BOGOF,193,746,,100,19300,149200,,
466d6c,STMYS-1,CAMP_SAN_01,P11,190,50% OFF,31,50,,95,2945,9500,,
6444b7,STCHE-2,CAMP_DIW_01,P06,415,25% OFF,85,81,,311.25,26456.25,33615,,
f1cd45,STVJD-1,CAMP_DIW_01,P11,190,50% OFF,50,64,,95,4750,12160,,
23421e,STBLR-2,CAMP_SAN_01,P12,62,50% OFF,54,77,,31,1674,4774,,
3c3c49,STCBE-2,CAMP_SAN_01,P08,1190,BOGOF,40,168,,595,23800,199920,,
680acd,STHYD-3,CAMP_SAN_01,P11,190,50% OFF,46,73,,95,4370,13870,,
fe2fe7,STCHE-4,CAMP_DIW_01,P05,55,25% OFF,127,115,,41.25,5238.75,6325,,
e2abd2,STCHE-3,CAMP_DIW_01,P09,110,50% OFF,73,92,,55,4015,10120,,
7c51b1,STCBE-0,CAMP_DIW_01,P09,110,50% OFF,59,89,,55,3245,9790,,
494f1b,STVSK-2,CAMP_SAN_01,P13,350,BOGOF,94,374,,175,16450,130900,,
144c17,STCHE-2,CAMP_DIW_01,P02,860,33% OFF,411,509,,576.2,236818.2,437740,,
28acbc,STBLR-2,CAMP_DIW_01,P10,65,50% OFF,105,132,,32.5,3412.5,8580,,
00af86,STCBE-0,CAMP_SAN_01,P06,415,25% OFF,15,14,,311.25,4668.75,5810,,
6321fa,STCHE-3,CAMP_SAN_01,P10,50,25% OFF,31,26,,37.5,1162.5,1300,,
6a7668,STCHE-4,CAMP_SAN_01,P15,3000,500 Cashback,112,321,,2500,280000,963000,,
c7fefa,STMDU-1,CAMP_SAN_01,P11,190,50% OFF,28,40,,95,2660,7600,,
c5f80e,STCHE-1,CAMP_DIW_01,P14,1020,BOGOF,43,125,,510,21930,127500,,
86755e,STCHE-4,CAMP_SAN_01,P07,300,BOGOF,45,191,,150,6750,57300,,
3.56E+10,STMDU-3,CAMP_SAN_01,P08,1190,BOGOF,36,145,,595,21420,172550,,
a26b45,STBLR-3,CAMP_DIW_01,P01,172,33% OFF,287,413,,115.24,33073.88,71036,,
fe7b5d,STHYD-2,CAMP_SAN_01,P03,200,BOGOF,472,1902,,100,47200,380400,,
8d68bc,STHYD-2,CAMP_DIW_01,P03,156,25% OFF,357,289,,117,41769,45084,,
9bc176,STHYD-3,CAMP_SAN_01,P04,370,BOGOF,416,1085,,185,76960,401450,,
17df71,STHYD-0,CAMP_SAN_01,P08,1190,BOGOF,46,179,,595,27370,213010,,
342d35,STCBE-3,CAMP_DIW_01,P08,1190,BOGOF,29,96,,595,17255,114240,,
d8f51c,STMYS-1,CAMP_DIW_01,P15,3000,500 Cashback,449,1499,,2500,1122500,4497000,,
cd36b2,STCHE-4,CAMP_DIW_01,P10,65,50% OFF,127,168,,32.5,4127.5,10920,,
780aaa,STMYS-1,CAMP_SAN_01,P06,415,25% OFF,19,14,,311.25,5913.75,5810,,
decd5e,STMDU-2,CAMP_SAN_01,P10,50,25% OFF,21,17,,37.5,787.5,850,,
d88318,STCHE-5,CAMP_DIW_01,P08,1190,BOGOF,45,149,,595,26775,177310,,
bf2632,STCHE-1,CAMP_SAN_01,P12,62,50% OFF,57,66,,31,1767,4092,,
902903,STVSK-2,CAMP_DIW_01,P13,350,BOGOF,49,164,,175,8575,57400,,
8481be,STCHE-1,CAMP_DIW_01,P04,290,25% OFF,327,287,,217.5,71122.5,83230,,
333ef0,STHYD-0,CAMP_DIW_01,P14,1020,BOGOF,47,163,,510,23970,166260,,
5dd3d3,STVJD-0,CAMP_DIW_01,P09,110,50% OFF,40,54,,55,2200,5940,,
98cc83,STVSK-0,CAMP_DIW_01,P10,65,50% OFF,84,127,,32.5,2730,8255,,
5a6ad7,STBLR-9,CAMP_DIW_01,P14,1020,BOGOF,45,153,,510,22950,156060,,
b0cc1e,STBLR-9,CAMP_SAN_01,P02,860,33% OFF,610,847,,576.2,351482,728420,,
21b73e,STTRV-0,CAMP_DIW_01,P05,55,25% OFF,61,59,,41.25,2516.25,3245,,
c3c9e3,STVSK-1,CAMP_DIW_01,P15,3000,500 Cashback,301,869,,2500,752500,2607000,,
b76f57,STBLR-8,CAMP_DIW_01,P13,350,BOGOF,66,220,,175,11550,77000,,
95792f,STMDU-2,CAMP_SAN_01,P15,3000,500 Cashback,106,243,,2500,265000,729000,,
53b2fd,STHYD-6,CAMP_DIW_01,P01,172,33% OFF,320,467,,115.24,36876.8,80324,,
6a54d2,STCHE-5,CAMP_SAN_01,P01,172,33% OFF,303,360,,115.24,34917.72,61920,,
cb7ddd,STVJD-1,CAMP_DIW_01,P09,110,50% OFF,49,65,,55,2695,7150,,
f57184,STHYD-5,CAMP_SAN_01,P05,55,25% OFF,21,18,,41.25,866.25,990,,
4f76ac,STMYS-3,CAMP_DIW_01,P04,290,25% OFF,383,344,,217.5,83302.5,99760,,
3b086a,STBLR-4,CAMP_SAN_01,P06,415,25% OFF,36,29,,311.25,11205,12035,,
0cc836,STVSK-0,CAMP_SAN_01,P05,55,25% OFF,18,14,,41.25,742.5,770,,
aacd2a,STMYS-3,CAMP_SAN_01,P10,50,25% OFF,25,21,,37.5,937.5,1050,,
3968a6,STMYS-3,CAMP_SAN_01,P05,55,25% OFF,19,16,,41.25,783.75,880,,
fc2170,STCBE-3,CAMP_SAN_01,P08,1190,BOGOF,40,158,,595,23800,188020,,
368ca0,STBLR-4,CAMP_SAN_01,P04,370,BOGOF,432,1736,,185,79920,642320,,
729701,STVSK-2,CAMP_SAN_01,P06,415,25% OFF,22,18,,311.25,6847.5,7470,,
6d863b,STCBE-1,CAMP_SAN_01,P07,300,BOGOF,40,155,,150,6000,46500,,
1d651c,STCHE-5,CAMP_SAN_01,P15,3000,500 Cashback,121,273,,2500,302500,819000,,
a7aa70,STMDU-2,CAMP_SAN_01,P11,190,50% OFF,25,28,,95,2375,5320,,
06c981,STHYD-2,CAMP_DIW_01,P14,1020,BOGOF,42,139,,510,21420,141780,,
626cb9,STMLR-0,CAMP_DIW_01,P09,110,50% OFF,36,48,,55,1980,5280,,
6c1493,STVJD-1,CAMP_SAN_01,P15,3000,500 Cashback,66,144,,2500,165000,432000,,
c22ead,STBLR-6,CAMP_SAN_01,P11,190,50% OFF,43,66,,95,4085,12540,,
a35a4f,STCHE-6,CAMP_DIW_01,P10,65,50% OFF,122,153,,32.5,3965,9945,,
4f7c26,STCBE-4,CAMP_DIW_01,P15,3000,500 Cashback,316,818,,2500,790000,2454000,,
c4dae9,STHYD-0,CAMP_DIW_01,P08,1190,BOGOF,52,180,,595,30940,214200,,
f199be,STBLR-6,CAMP_DIW_01,P06,415,25% OFF,87,78,,311.25,27078.75,32370,,
c1debe,STCHE-3,CAMP_DIW_01,P15,3000,500 Cashback,381,1303,,2500,952500,3909000,,
d61f6f,STHYD-3,CAMP_SAN_01,P03,200,BOGOF,331,903,,100,33100,180600,,
459bc3,STBLR-8,CAMP_SAN_01,P13,350,BOGOF,97,378,,175,16975,132300,,
ed90b8,STVSK-4,CAMP_SAN_01,P05,55,25% OFF,18,13,,41.25,742.5,715,,
8fecef,STCHE-1,CAMP_DIW_01,P07,300,BOGOF,75,217,,150,11250,65100,,
dc2bb1,STMYS-3,CAMP_SAN_01,P02,860,33% OFF,400,476,,576.2,230480,409360,,
